00	86
01	02
02	12
03	64
04	25
05	08
06	66
07	39
08	72
09	79
10	41
11	20
12	10
13	97
14	88
15	53
16	50
17	76
18	83
19	84
20	42
21	60
22	91
23	45
24	22
25	11
26	05
27	65
28	80
29	40
30	74
31	52
32	26
33	70
34	35
35	57
36	28
37	63
38	31
39	15
40	07
41	56
42	55
43	77
44	38
45	19
46	68
47	34
48	17
49	98
50	49
51	92
52	54
53	27
54	13
55	06
56	03
57	96
58	48
59	24
60	99
61	61
62	30
63	71
64	94
65	87
66	85
67	95
68	47
69	23
70	69
71	81
72	59
73	29
74	14
75	93
76	46
77	89
78	44
79	75
80	37
81	73
82	36
83	18
84	09
85	04
86	21
87	01
88	62
89	32
90	16
91	67
92	33
93	78
94	82
95	43
96	00
97	90
98	58
99	51
